claim_id,adjudication_outcome,classification,published_status,audit_status,evidence_qualifications,evidence_tiers,source_independence,model_tiers,unresolved_replication_classes,claim_family,statement,model_domain,uncertainty_boundary,falsifier,adjudication,reviewer,last_verified_on,source_locations,evidence_artifacts
PD-CLAIM-046,supported,external_small_sample_method_validation,supported_with_sample_phase_and_task_boundary,primary_abstract_and_doi_record_checked_full_reanalysis_open,abstract_or_record_only | external_source_registered | independent_followup_open,external_empirical_human,single_independent_external_support,human_or_external_evidence | planar_reduced,full_text_or_original_source_open | statistical_reanalysis_or_replication_open,ch02_mechanics,"Robertson and Winter applied segment energy balances to sagittal walking data from two participants, reported acceptable agreement except at the ankle during weight acceptance and late push-off, and found intersegment transfers comparable in magnitude to estimated generation and absorption.",Sagittal force-plate and cinefilm analysis of walking at several speeds in two participants.,"The study is not golf validation, muscle identification, or evidence that its ankle agreement extends to high-speed upper-limb motion.","The primary record does not report the two-participant design, the stated ankle exceptions, or transfer magnitudes comparable to generation and absorption.",The method is used as precedent for segment accounting while its small walking sample and known mismatch phases remain visible.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:377,https://doi.org/10.1016/0021-9290(80)90172-4
PD-CLAIM-047,supported,external_methodological_limitation_and_model_boundary,supported_with_analysis_family_distinction,primary_review_abstract_checked_golf_application_open,abstract_or_record_only | external_source_registered,external_review_or_synthesis,multiple_independent_external_support,cross_tier_synthesis | human_or_external_evidence | planar_reduced,none_declared,ch02_mechanics,"Joint powers and segment angular velocities alone cannot identify energy flow or muscle coordination; muscle-induced acceleration and power analyses require a declared dynamical simulation, and a zero-control or zero-velocity-field decomposition is a different intervention.",Forward dynamical attribution of muscle or generalized-control contributions under an explicitly declared intervention.,"Induced quantities depend on coordinates, constraints, actuator representation, state, and intervention definition and do not uniquely identify neural control.","The cited methodological source endorses joint-power or peak-velocity traces alone as sufficient for muscle coordination and energy-flow inference, or the paper conflates distinct interventions.",The revised text uses induced analysis as a model-dependent attribution tool and removes biological identification from the wrist balance.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:388 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:400 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:54,https://doi.org/10.1016/S0966-6362(02)00068-1 | https://pubmed.ncbi.nlm.nih.gov/2676547/
PD-CLAIM-048,supported,external_method_sensitivity_result,supported_with_sample_and_estimand_boundary,primary_open_full_text_and_pubmed_record_checked_reanalysis_open,external_source_registered | independent_followup_open | original_full_text_checked | project_executable_or_data,external_methods_or_measurement | project_executable_or_generated,single_independent_external_support,human_or_external_evidence | planar_reduced,statistical_reanalysis_or_replication_open,ch02_mechanics,"Marsan and colleagues found that seven angular-velocity methods applied to driver swings from 13 golfers produced nearly as many proximal-to-distal sequences as methods, with no accepted reference method for choosing among them.","Method comparison for pelvis, upper-trunk, arm, and club angular-velocity sequences in driver swings from 13 golfers.","The study compares kinematic definitions; it does not measure energy flow, joint power, or establish the best method outside its sample.",The primary paper does not analyze 13 golfers with seven methods or does identify a validated reference method that resolves the reported sequence variation.,Peak order remains a descriptive proxy whose method dependence must be reported rather than a direct transfer measurement.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:417,https://pubmed.ncbi.nlm.nih.gov/31741482/ | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-049,supported,cross_source_spatial_measurement_synthesis,supported_with_object_and_tolerance_boundary,primary_abstracts_and_doi_records_checked_reanalysis_open,abstract_or_record_only | external_source_registered | independent_followup_open,external_empirical_human | external_methods_or_measurement,multiple_independent_external_support,planar_reduced | spatial_reduced,statistical_reanalysis_or_replication_open,ch02_mechanics,"Coleman and Rankin and Kwon and colleagues found that golfer body and club trajectories do not share one fixed plane, while Kwon's clubhead functional plane remained a useful object-specific approximation; this rejects an undeclared common-plane claim but not a narrowly declared planar mechanism model.","Three-dimensional measurements of seven right-handed golfers in one study and 14 skilled male golfers using driver, five iron, and pitching wedge in the other.",The measurements do not establish one universal numerical planarity tolerance or show that a planar reduced model predicts all three-dimensional kinetics.,"The primary records show a single fixed body-and-club plane within a declared small tolerance throughout the swing, or the paper uses a planar mechanism result as unqualified three-dimensional human evidence.",Planarity is now an object-and-tolerance modeling declaration rather than a global anatomical assertion.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:426,https://doi.org/10.1080/02640410410001730179 | https://doi.org/10.1080/14763141.2012.660799
PD-CLAIM-050,supported,cross_source_falsifiability_requirement,supported_by_estimand_and_method_non_equivalence,source_domains_checked_prospective_protocol_open,external_source_registered,external_empirical_human | external_methods_or_measurement | external_review_or_synthesis,multiple_independent_external_support,cross_tier_synthesis | planar_reduced | spatial_reduced,none_declared,ch02_mechanics,"A falsifiable proximal-distal timing test must define its kinematic sequence and pair it with segment or interface power, state- and coordinate-sensitivity analysis, and three-dimensional residuals; peak order alone cannot establish energy transfer or an optimal control strategy.","Prospective tests of proximal-distal timing and transfer across kinematic, energetic, dynamical, and spatial representations.",These requirements improve identifiability but do not guarantee that observational data identify neural control or a universally optimal strategy.,"A validated analysis demonstrates that peak order alone uniquely determines energy flow and control attribution across definitions, states, and spatial models.",The paper now states a testable measurement bundle and withholds energetic or control conclusions from kinematics alone.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:388 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:417 | docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:437 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:71 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:73 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:91 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:93,https://doi.org/10.1016/S0966-6362(02)00068-1 | https://pubmed.ncbi.nlm.nih.gov/31741482/ | https://doi.org/10.1080/02640410410001730179 | https://doi.org/10.1080/14763141.2012.660799
PD-CLAIM-051,supported,external_model_lineage_and_transport_boundary,supported_as_model_lineage_not_human_validation,publisher_records_and_review_scope_checked,external_source_registered,external_modeling_or_simulation,multiple_independent_external_support,human_or_external_evidence | planar_reduced | two_hand_or_bilateral,none_declared,ch02_mechanics,"The two-lever, one-hinge golf model is a historically established analytical model lineage, but that lineage does not empirically validate a fixed hub, planar rigid shaft, or human wrist-control program.",Historical analytical and review literature on reduced golf-swing models.,"Books and analytical papers establish use and utility, not population validity or physiological control.","The cited records do not use or review the stated reduced model lineage, or the paper treats model history as empirical human validation.",The chapter now preserves the model's analytical role while explicitly withholding human and structural validation.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch02_mechanics.qmd:137 | docs/research/proximal_distal_energy_transfer/chapters/_ch05_platform.qmd:11 | docs/research/proximal_distal_energy_transfer/chapters/_ch05_platform.qmd:33,https://doi.org/10.1119/1.1976419 | https://doi.org/10.1088/0034-4885/66/2/202
PD-CLAIM-052,supported,rigid_body_energy_balance_identity,supported_for_declared_free_body_and_conventions,analytic_identity_and_executable_moment_balance_checked,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,"For the declared planar club free body, the club kinetic-energy rate equals wrist-force power plus wrist-moment power plus gravity power, with all vectors, angular rates, and signs evaluated for the club.",Rigid planar club segment acted on by a wrist wrench and gravity under the declared coordinate convention.,"The identity does not include shaft strain energy, aerodynamic work, impact, out-of-plane power, or soft-tissue work.",The executable Newton-Euler and energy balances fail under the declared convention or a term is evaluated with an incompatible point or angular rate.,The text now describes positive force power as power delivered to the club and retains the complete moment and gravity channels.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:3 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:17 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:27 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:37 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:43 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:56 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:66 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:75,scripts/research/proximal_distal_energy/interaction_forces.py | tests/unit/research/test_interaction_force_mechanisms.py
PD-CLAIM-053,supported,analytic_force_decomposition_identity,supported_for_declared_planar_model,machine_precision_reconstruction_and_moment_balance_pass,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,Differentiating the declared fixed-hub double-pendulum kinematics and applying Newton's second law yields five exact wrist-force components whose sum reconstructs the total club reaction force without fitted regression or sampled acceleration differentiation.,Fixed-hub two-link planar rigid-body kinematics with analytic acceleration supplied by forward dynamics.,"Named centripetal and tangential terms are decomposition labels, not independent physical agents or unique causal sources.",The five components do not reconstruct mass times club-COM acceleration minus gravity to numerical tolerance.,The exact decomposition is retained and the prose prevents centripetal labels and gravity bookkeeping from being treated as separate agents.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:81 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:88 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:104 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:110 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:116 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:124,scripts/research/proximal_distal_energy/interaction_forces.py | tests/unit/research/test_interaction_force_mechanisms.py
PD-CLAIM-054,supported,state_matched_counterfactual_identity,supported_for_declared_intervention_and_model,analytic_split_and_machine_precision_superposition_pass,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,"At one fixed state of the declared unconstrained manipulator model, zero commanded generalized torque can retain nonzero acceleration and reaction force, and total reaction force splits exactly into a zero-command drift force plus the same-state control increment.",Unconstrained two-coordinate manipulator with passive damping inside the drift term and a same-state zero-command intervention.,"The split is not a muscle-force partition and requires separate treatment of imposed constraints, contacts, other actuators, and diverged future states.",Same-state zero command always produces zero force in the declared nonzero-drift states or drift plus control fails to reconstruct total force.,"The revision explicitly declares the unconstrained domain, retains passive damping in drift, and separates generalized control from muscle action.",Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:134 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:140 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:153 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:162 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:171 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:179,scripts/research/proximal_distal_energy/interaction_forces.py | tests/unit/research/test_interaction_force_mechanisms.py
PD-CLAIM-055,supported,analytic_geometry_power_identity,supported_for_fixed_hub_planar_model,symbolic_expression_and_numerical_component_sum_checked,external_source_registered | project_executable_or_data,external_empirical_human | project_executable_or_generated,single_independent_external_support,planar_reduced,none_declared,ch03_interaction_forces,"For the declared fixed circular hub, wrist-force power is a signed velocity projection: the proximal centripetal component is orthogonal to wrist velocity, while distal centripetal and tangential projections carry minus-sine and cosine relative-angle gates whose amplitudes also depend on the state rates and accelerations.",Planar rigid double pendulum with fixed circular hub and compatible swing-plane force and velocity vectors.,A moving hub breaks the proximal radial-tangential orthogonality; gate coefficients alone do not establish term dominance or favorable work.,"The fixed-hub dot products do not reduce to the stated zero, sine, and cosine projections, or the text infers dominance from geometry alone.",The revision preserves exact gates but removes the unsupported claim that geometry by itself rotates the dominant pathway.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:189 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:195 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:211 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:218 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:224 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:233,scripts/research/proximal_distal_energy/interaction_forces.py | tests/unit/research/test_interaction_force_mechanisms.py | https://www.jssm.org/volume08/iss2/cap/jssm-08-235.pdf
PD-CLAIM-056,supported,model_conditional_quantitative_result,supported_at_declared_model_tier,deterministically_regenerated_and_pinned_by_tests,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,"The registered 60/-10/+15 N m reference program reaches the declared delivery event at 0.3493 s and 38.85 m/s, with 315.4 N peak total wrist force, 310.6 N peak pointwise drift force, and an RMS control-force increment equal to 16.3 percent of RMS total force before impact.","Default fixed-hub planar double pendulum, fixed-step RK4, first valid upward club-vertical crossing, and the registered piecewise torque program.","The RMS comparison is norm-, interval-, state-history-, and model-specific and is not biological effort or a population load estimate.",Deterministic regeneration differs beyond registered tolerances or the paper generalizes the RMS ratio to biological importance.,The values are retained while their interpretation is narrowed to one pointwise decomposition and RMS norm.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:246 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:252 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:264,docs/research/proximal_distal_energy_transfer/data/interaction_force_summary.json | scripts/research/proximal_distal_energy/run_interaction_force_study.py | tests/unit/research/test_interaction_force_mechanisms.py | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-057,supported,model_conditional_work_decomposition,supported_at_declared_model_tier,deterministically_regenerated_with_component_power_closure,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,"In the registered reference program, wrist-force work to impact is 130.7 J; the late half contributes 131.7 J, signed positive and negative work are 136.8 J and -6.1 J, and pointwise zero-command drift force integrates to 132.2 J along the commanded states.",Signed wrist-force line integral along the registered commanded trajectory through its first valid delivery event.,"Drift work evaluated along commanded states is an attribution diagnostic, not work from a realizable torque-free trajectory.",The canonical data do not reproduce the signed integrals or component powers fail to sum to total wrist-force power.,The chapter retains the late signed-work result and visibly separates pointwise attribution from a zero-command future.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:272 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:281,docs/research/proximal_distal_energy_transfer/data/interaction_force_summary.json | docs/research/proximal_distal_energy_transfer/data/interaction_force_mechanisms.npz | tests/unit/research/test_interaction_force_mechanisms.py
PD-CLAIM-058,supported,counterfactual_contract_and_model_result,supported_for_declared_interventions,initial_state_identity_timestep_convergence_and_metrics_checked,project_executable_or_data,project_executable_or_generated,project_only,cross_tier_synthesis | planar_reduced | two_hand_or_bilateral,none_declared,ch03_interaction_forces,"A pointwise zero-torque counterfactual recomputes acceleration and reaction at independently state-matched samples, whereas a matched-state killswitch integrates a separate zero-command future; at the registered 0.251 s cut and 0.120 s horizon the futures separate by 0.540 rad and 8.49 rad/s.","Same-state zero-command interventions in the default planar forward model with explicit cut time, horizon, and timestep.","Neither intervention identifies human intent; persistence varies with cut, horizon, state, integrator, and model.","The killswitch does not start at the exact source state, initial zero-command acceleration differs from pointwise drift, or the registered separation fails to reproduce.",The two counterfactuals are now named and interpreted as noninterchangeable estimands with an explicit persistence requirement.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:293 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:299 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:305 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:317 | docs/research/proximal_distal_energy_transfer/chapters/_ch01_introduction.qmd:54 | docs/research/proximal_distal_energy_transfer/chapters/_ch05_platform.qmd:11 | docs/research/proximal_distal_energy_transfer/chapters/_ch05_platform.qmd:33,docs/research/proximal_distal_energy_transfer/data/interaction_force_summary.json | scripts/research/proximal_distal_energy/counterfactual_ensemble.py | tests/unit/research/test_interaction_force_mechanisms.py
PD-CLAIM-059,untested,prospective_falsifiable_model_hypotheses,hypotheses_not_human_findings,estimands_and_failure_conditions_declared_experiments_open,external_source_registered | hypothesis_or_prospective_protocol | project_executable_or_data,external_modeling_or_simulation | project_executable_or_generated | prospective_or_unexecuted,multiple_independent_external_support,planar_reduced,governed_human_data_unavailable | prospective_experiment_open,ch03_interaction_forces,"The double-pendulum mechanism yields testable hypotheses about early state, projection, pathway rotation, control history, and constrained objectives, but none is a technique instruction or universal timing rule.","Prospective perturbation studies across angle, rate, acceleration, hub path, compliance, command history, load, and delivery validity.","Model predictions do not establish participant benefit, safety, intent, learning, or one optimum.",State-matched perturbations fail to produce the predicted signed changes or the effects reverse across plausible model extensions.,The former strategy section is now a preregisterable hypothesis set rather than coaching language.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:326 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:329 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:350,https://doi.org/10.1046/j.1460-2687.1999.00028.x | https://doi.org/10.1123/jab.16.4.356 | docs/research/proximal_distal_energy_transfer/data/interaction_force_summary.json
PD-CLAIM-060,supported,wrench_identity_and_project_source_boundary,analytic_identity_with_hypothesis_evidence_only,source_hash_and_series_completeness_checked_forward_controls_elsewhere,project_executable_or_data,project_derivation_or_document | project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,"Separated hand forces can have a modest resultant while producing a substantial equivalent couple, so a negative net couple does not identify active negative wrist torque; the WSCG series are registered project-source observations that motivate, but do not independently validate, a passive two-contact mechanism.",Planar equivalent wrench of two separated hand contacts plus registered source-deck time series.,"The source decks are project-originated hypothesis evidence, not independent physiology, human validation, or reproduction of the underlying Simscape solve.","The equivalent-wrench identity fails, source hashes or series are incomplete, or the negative couple disappears under the declared forward controls.",The text now labels the constraint-force explanation as a model hypothesis and keeps the source series distinct from reproduction.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:358 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:371 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:380 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:387,docs/research/proximal_distal_energy_transfer/sources/wscg_2024/SOURCE_REGISTER.md | docs/research/proximal_distal_energy_transfer/data/wscg_2024_source_provenance.json | scripts/research/proximal_distal_energy/extract_wscg_charts.py | tests/unit/research/test_interaction_force_mechanisms.py
PD-CLAIM-061,supported,chapter_level_claim_boundary_and_falsification_contract,supported_with_explicit_nonclaims,all_chapter_candidates_adjudicated_model_extensions_and_human_tests_open,project_executable_or_data,project_derivation_or_document | project_executable_or_generated,project_only,planar_reduced,none_declared,ch03_interaction_forces,"The audited double-pendulum chapter supports only reaction-force existence under zero command, signed velocity-projection transfer, fixed-hub geometric gates, and registered reference-program timing; it withholds human torque, universal lag, passive two-hand, population, and coaching conclusions.",Synthesis of the declared fixed-hub double-pendulum analytic and numerical evidence.,"The synthesis does not complete moving-hub, flexible, spatial, two-hand, biological, or human validation tiers.","Any narrow support claim fails its analytic or numerical gate, or the chapter presents a withheld conclusion as established.","Every chapter candidate is now mapped to a bounded claim or editorial disposition, and the concluding falsifiers match the actual evidence tier.",Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:399 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:407 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:412 | docs/research/proximal_distal_energy_transfer/chapters/_ch03_interaction_forces.qmd:421,docs/research/proximal_distal_energy_transfer/data/interaction_force_summary.json | tests/unit/research/test_interaction_force_mechanisms.py | docs/research/proximal_distal_energy_transfer/chapters/_ch06e_experimental_protocol.qmd
PD-CLAIM-062,supported,external_observational_estimand_and_inference_boundary,supported_for_sample_specific_association,primary_open_article_methods_results_and_tables_checked,external_source_registered | project_executable_or_data,external_empirical_human | external_methods_or_measurement | project_executable_or_generated,multiple_independent_external_support,human_or_external_evidence,none_declared,ch03b_hand_path_attribution,"MacKenzie and colleagues reported that path-averaged force was associated with clubhead speed at r = 0.96 and R-squared = 0.92 among 76 right-handed amateur golfers, but the signed work-per-path-length estimand is observational, is not force magnitude or effort, and does not identify a causal intervention.",Observed shared-club drives from 76 right-handed golfers with handicap below 15; the redundancy analogy comes from a static 31-muscle cat-hindlimb endpoint-force model.,"Neither source measures perceived effort, a causal force intervention, dynamic golf muscle activation, or universal response.","The primary article does not report the sample, r, R-squared, or means stated, or a controlled intervention contradicts the bounded observational interpretation.","The numerical observations are retained and the prose now distinguishes association, estimand, effort, and causal intervention.",Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:17 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:27 | docs/research/proximal_distal_energy_transfer/chapters/_ch03ba_coordinate_force_sources.qmd:113 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:41 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:5,https://www.golfsciencejournal.org/article/12640-how-amateur-golfers-deliver-energy-to-the-driver | https://doi.org/10.1016/j.jbiomech.2013.01.020 | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
PD-CLAIM-063,supported,counterfactual_estimand_contract,supported_by_equations_and_executable_protocols,analytic_contract_and_reaction_recomputation_tests_checked,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03b_hand_path_attribution,"Pointwise ZTCF, stitched pointwise ZTCF, ZVCF, and forward branched ZTCF are non-equivalent interventions; constrained reactions must be recomputed at the same declared state, and only a forward branch tests persistence.",Control-affine open-chain and KKT-constrained planar models evaluated under declared same-state or forward interventions.,The split is model and intervention dependent and does not identify biological control or make stitched samples a realizable trajectory.,Any two named interventions become numerically identical outside their declared limiting case or reactions are obtained without solving the counterfactual constraints.,The chapter preserves four distinct counterfactual names and forbids cross-intervention interpretation.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:68 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:78 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:86,scripts/research/proximal_distal_energy/run_hand_path_attribution_study.py | tests/research/test_hand_path_attribution_study.py
PD-CLAIM-064,supported,observable_and_cancellation_identity,supported_by_mechanical_definitions,analytic_definitions_additive_closure_and_masking_tests_checked,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03b_hand_path_attribution,"The hand-path observable is a signed line integral: vector impulse, rotating-tangent impulse, force work, couple work, and total-wrench work answer different questions; raw signed values, magnitude shares, and cancellation indices are required near opposing components.","Planar moving interfaces with compatible body, sign, frame, point, velocity, and angular-rate conventions.","These identities do not select an anatomical phase definition, physiological effort metric, or causal controller.","The registered integrals or shares violate dimensional, sign, reference-point, additive, or masking contracts.",The chapter retains separate estimands and cancellation-stable reporting instead of unstable signed percentages.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:102 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:123 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:142 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:156 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:163,scripts/research/proximal_distal_energy/run_hand_path_attribution_study.py | tests/research/test_hand_path_attribution_study.py
PD-CLAIM-065,supported,model_ladder_domain_and_transport_boundary,supported_for_declared_model_tiers,model_structure_event_and_constraint_contracts_checked,project_executable_or_data,project_executable_or_generated,project_only,cross_tier_synthesis | planar_reduced,none_declared,ch03b_hand_path_attribution,"The three-tier hand-path ladder is a stress test, not three measurements of one swing: its double pendulum and one-arm tiers are forward simulations, while its two-arm tier is a short constraint-consistent local kinematic sweep whose work is not a realized full-downswing outcome.","One fixed-hub double pendulum, one point-mass three-link arm, and one seven-coordinate constrained planar two-arm local sweep.","The tiers are not subject calibrated, anatomically complete, mutually trajectory matched, or validated human models.","The stored trajectory kind, event, constraint rank, or model structure differs from the paper or a local sweep is represented as forward work.",The tier distinctions and fixed-joint observability limits remain explicit.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:187 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:194 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:200 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:210 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:218 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:229 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:236 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:244,docs/research/proximal_distal_energy_transfer/data/hand_path_attribution/hand_path_attribution_study.json | tests/research/test_hand_path_attribution_study.py
PD-CLAIM-066,supported,model_conditional_hand_path_attribution_results,supported_at_declared_model_tiers,deterministic_replay_primary_estimand_and_vector_exports_checked,project_executable_or_data,project_executable_or_generated,project_only,planar_reduced,none_declared,ch03b_hand_path_attribution,"In the registered open-chain reference cases, pointwise drift supplies 101.2 and 103.5 percent of signed wrist force work because the contemporaneous control increment is opposing; in the two-arm local sweep, drift and control largely cancel, so none of these percentages is evidence of control-free state creation or biological effort.","Registered double-pendulum, one-arm, and two-arm local-sweep trajectories and their pointwise same-state decompositions.",Signed shares above 100 percent arise from opposition; pointwise drift includes state history and is not a forward zero-command future.,"The canonical artifacts fail to reproduce the values, total differs from drift plus control, or a narrative converts attribution into effort.",The quantitative results are retained with raw cancellation and trajectory-kind boundaries.,Codex technical audit,2026-08-13,docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:253 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:270 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:281 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:290 | docs/research/proximal_distal_energy_transfer/chapters/_ch03b_hand_path_attribution.qmd:300,docs/research/proximal_distal_energy_transfer/data/hand_path_attribution/hand_path_attribution_study.json | docs/research/proximal_distal_energy_transfer/data/hand_path_attribution/hand_path_attribution_traces.npz | tests/research/test_hand_path_attribution_study.py | docs/research/proximal_distal_energy_transfer/data/claim_numeric_reported_values.json
